	Log_CDI_degree	Log_The number of genes	CDI_degree	The number of genes
0	0.0	5.1298987149230735	1	169
1	0.6931471805599453	4.74493212836325	2	115
2	1.0986122886681098	4.0943445622221	3	60
3	1.3862943611198906	4.060443010546419	4	58
4	1.6094379124341003	3.6888794541139363	5	40
5	1.791759469228055	3.2188758248682006	6	25
6	1.9459101490553132	2.9444389791664403	7	19
7	2.0794415416798357	2.9444389791664403	8	19
8	2.1972245773362196	2.6390573296152584	9	14
9	2.302585092994046	2.772588722239781	10	16
10	2.3978952727983707	1.0986122886681098	11	3
11	2.4849066497880004	2.0794415416798357	12	8
12	2.5649493574615367	2.1972245773362196	13	9
13	2.6390573296152584	0.6931471805599453	14	2
14	2.70805020110221	1.3862943611198906	15	4
15	2.772588722239781	2.0794415416798357	16	8
16	2.833213344056216	1.0986122886681098	17	3
17	2.8903717578961645	1.3862943611198906	18	4
18	2.9444389791664403	1.0986122886681098	19	3
19	2.995732273553991	1.9459101490553132	20	7
20	3.044522437723423	1.0986122886681098	21	3
21	3.091042453358316	1.791759469228055	22	6
22	3.1354942159291497	2.0794415416798357	23	8
23	3.2188758248682006	1.791759469228055	25	6
24	3.258096538021482	1.3862943611198906	26	4
25	3.332204510175204	0.6931471805599453	28	2
26	3.367295829986474	0.6931471805599453	29	2
27	3.4011973816621555	1.791759469228055	30	6
28	3.4339872044851463	0.0	31	1
29	3.4657359027997265	0.6931471805599453	32	2
30	3.4965075614664802	1.6094379124341003	33	5
31	3.5263605246161616	0.0	34	1
32	3.5553480614894135	0.6931471805599453	35	2
33	3.58351893845611	0.6931471805599453	36	2
34	3.6109179126442243	0.0	37	1
35	3.6375861597263857	1.3862943611198906	38	4
36	3.6635616461296463	0.0	39	1
37	3.6888794541139363	0.6931471805599453	40	2
38	3.713572066704308	0.6931471805599453	41	2
39	3.7376696182833684	0.0	42	1
40	3.7612001156935624	0.0	43	1
41	3.784189633918261	0.0	44	1
42	3.8066624897703196	1.6094379124341003	45	5
43	3.828641396489095	1.791759469228055	46	6
44	3.8501476017100584	0.6931471805599453	47	2
45	3.871201010907891	0.0	48	1
46	3.8918202981106265	0.0	49	1
47	3.912023005428146	0.0	50	1
48	3.9318256327243257	0.6931471805599453	51	2
49	3.9512437185814275	1.0986122886681098	52	3
50	3.970291913552122	3.332204510175204	53	28
51	3.9889840465642745	0.0	54	1
52	4.02535169073515	0.0	56	1
53	4.110873864173311	0.0	61	1
54	4.174387269895637	0.0	65	1
